"Rank","Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","CardTrader","Cardhoarder","Salt","Decks"
"413","U,R","6","The Locust God","mythic","Creature","8.99","6.95","8.57","5.06","8.92","0.02","0.8128654970760235","6818"
"414","W,U,B","3","Aminatou, the Fateshifter","mythic","Planeswalker","3.99","2.82","3.21","2.75","4.35","2.22","0.6393442622950821","6813"
"415","R,G","6","Ruric Thar, the Unbowed","rare","Creature","0.99","0.41","0.71","0.35","0.42","0.02","0.7884615384615384","6812"
"416","G,U","2","Ivy, Gleeful Spellthief","rare","Creature","0.49","0.35","0.54","0.27","0.45","0.02","0.571428571428572","6788"
"417","U,R","4","Rootha, Mastering the Moment","mythic","Creature","0.99","0.77","0.71","0.46","0.36","undefined","undefined","6783"
"418","U,B,R","4","Don Andres, the Renegade","mythic","Creature","0.99","0.34","1.06","0.54","0.14","undefined","0.08695652173913043","6776"
"419","W,U","3","Zethi, Arcane Blademaster","rare","Creature","3.49","2.89","4.28","1.06","1.34","0.64","0.4","6770"
"420","U","3","Emry, Lurker of the Loch","rare","Creature","1.49","0.57","1.42","0.86","0.88","1.04","0.47181008902077154","6752"
"421","W,B","3","Kambal, Profiteering Mayor","rare","Creature","7.99","4.69","7.14","4.27","6.15","0.02","0.6016483516483515","6744"
"422","U,R","6","Brudiclad, Telchor Engineer","mythic","Creature","0.69","0.26","0.71","0.25","0.16","0.02","0.36263736263736274","6738"
"423","B,R","3","Magar of the Magic Strings","mythic","Creature","2.29","0.51","2.14","0.42","0.88","undefined","0.631578947368421","6736"
"424","W,B,G","4","Narci, Fable Singer","mythic","Creature","15.99","11.92","16.42","10.68","15.51","11.04","0.3442622950819672","6719"
"425","W,U,B","3","Zur, Eternal Schemer","mythic","Creature","3.99","2.11","3.56","4.06","3.24","0.02","0.6071428571428571","6714"
"426","W,B,G","8","Karador, Ghost Chieftain","rare","Creature","0.69","0.32","0.71","0.27","0.34","0.02","0.2","6712"
"427","G,U,R","4","Eshki Dragonclaw","rare","Creature","0.49","0.22","0.35","0.21","0.23","0.02","0.1616161616161616","6709"
"428","U,B,R","5","Abaddon the Despoiler","mythic","Creature","0.99","2.11","1.06","3.99","1.07","undefined","0.7647058823529411","6707"
"429","R","4","Imodane, the Pyrohammer","rare","Creature","0.49","0.34","0.54","0.18","0.19","0.02","0.14285714285714285","6695"
"430","U,B,R","3","Marchesa, Dealer of Death","rare","Creature","0.49","0.22","0.35","0.17","0.13","0.02","0.1875","6684"
"431","R,W","5","Thorin, King of Durin's Folk","rare","Creature","11.99","7.82","13.57","22.39","9.2","undefined","undefined","6672"
"432","G,W","5","Karametra, God of Harvests","mythic","Creature","4.99","4.86","4.28","2.93","3.2","0.02","0.33870967741935487","6667"
"433","W","3","Delney, Streetwise Lookout","mythic","Creature","44.99","33.96","46.43","26.62","42.78","0.02","0.810810810810811","6653"
"434","U,R","3","Yusri, Fortune's Flame","rare","Creature","0.49","0.24","0.54","0.23","0.17","0.02","0.3888888888888889","6636"
"435","W,B","3","Greasefang, Okiba Boss","rare","Creature","0.49","0.33","0.35","0.26","0.35","0.05","0.55","6617"
"436","B","5","Maha, Its Feathers Night","mythic","Creature","24.99","21.16","25","19","25.06","0.02","1.5785714285714285","6616"
"437","R","5","Jaws, Relentless Predator","mythic","Creature","199.99","175.8","196.44","139.94","222.37","undefined","undefined","6611"
"438","U,R,W","3","Dr. Madison Li","mythic","Creature","0.99","0.33","1.06","0.44","0.34","undefined","0.19047619047619047","6608"
"439","G,W,U","5","Aang, at the Crossroads","rare","Creature","0.59","0.75","0.54","0.55","0.69","0.02","undefined","6559"
"440","G,W,U","2","Peter Parker","mythic","Creature","4.99","4.78","4.99","2.16","2.09","0.71","0.6923076923076922","6550"
"441","U,R,W","4","Aragorn, King of Gondor","mythic","Creature","0.99","0.69","1.06","0.9","0.53","2","0.6263736263736265","6548"
"442","W,B,G","3","Felothar, Dawn of the Abzan","rare","Creature","0.49","0.27","0.35","0.15","0.17","0.02","0.1521739130434783","6527"
"443","W,B","2","Sorin of House Markov","mythic","Creature","4.99","3.82","4.99","3.62","4.38","0.04","0.26","6526"
"444","W,U","4","Heliod, the Radiant Dawn","rare","Creature","2.49","1.62","2.49","1.12","2.1","0.02","0.44761904761904764","6524"
"445","G,U,R","3","Riku of Many Paths","rare","Creature","0.49","0.26","0.35","0.11","0.11","0.02","0.2222222222222222","6485"
"446","B,G,U","6","Tasigur, the Golden Fang","rare","Creature","0.49","0.23","0.35","0.02","0.18","0.02","0.16666666666666666","6472"
"447","G,W,U","5","Mr. Foxglove","mythic","Creature","0.99","0.35","0.71","0.75","0.46","2","0.21428571428571427","6443"
"448","B,G,U","7","Sin, Spira's Punishment","rare","Creature","0.49","0.29","0.54","0.26","0.24","0.02","0.627659574468085","6441"
"449","B,G","3","Slimefoot, the Stowaway","uncommon","Creature","0.35","0.25","0.35","0.07","0.12","0.03","0.21568627450980393","6435"
"450","U,R","2","The Emperor of Palamecia","uncommon","Creature","0.69","0.29","0.54","0.14","0.14","0.04","0.4791666666666667","6405"
"451","","5","Karn, Legacy Reforged","mythic","Creature","17.99","19.32","18.57","0.39","13.85","0.02","0.4973821989528795","6403"
"452","R,W","4","Nelly Borca, Impulsive Accuser","mythic","Creature","0.99","0.51","1.06","0.38","0.45","2.18","0.6956521739130433","6403"
"453","U","3","Minn, Wily Illusionist","rare","Creature","17.99","9.6","18.57","9.32","12.01","6.42","0.31111111111111117","6395"
"454","B,G,U","5","Teval, Arbiter of Virtue","mythic","Creature","0.99","0.35","1.06","0.47","0.51","0.12","0.4680851063829788","6372"
"455","U,B,R","3","Anhelo, the Painter","mythic","Creature","0.99","0.44","0.71","0.07","0.4","2.07","0.6111111111111112","6359"
"456","G","3","Selvala, Heart of the Wilds","mythic","Creature","6.99","5.33","7.14","3.53","4.09","1.34","0.8288288288288287","6353"
"457","G","5","Aeve, Progenitor Ooze","rare","Creature","0.49","0.36","0.54","0.19","0.14","0.02","0.3888888888888889","6277"
"458","U,R,W","6","Narset, Enlightened Master","mythic","Creature","0.99","0.47","0.71","0.39","0.5","0.02","1.6350806451612903","6262"
"459","W,B","4","Ratadrabik of Urborg","rare","Creature","1.29","0.69","1.42","0.74","1.04","0.02","0.5138121546961323","6246"
"460","B,G,U","4","Nine-Fingers Keene","rare","Creature","0.49","0.31","0.35","0.13","0.2","1.51","0.2631578947368421","6220"
"461","G,U,R","5","Loot, the Pathfinder","mythic","Creature","0.99","0.42","1.06","0.02","0.36","0.02","0.4444444444444444","6219"
"462","R,W,B","3","Kelsien, the Plague","mythic","Creature","0.99","2.52","1.06","1.24","1.37","3.33","0.8","6169"
"463","B","5","Syr Konrad, the Grim","uncommon","Creature","1.79","1.15","1.42","0.49","0.59","0.03","0.929480901077375","6134"
"464","R,G","4","Anzrag, the Quake-Mole","mythic","Creature","8.99","6.45","9.28","2.98","5.11","0.02","0.6037735849056604","6111"
"465","B,G,U","5","Felix Five-Boots","mythic","Creature","4.49","4.64","4.28","0.48","4.43","2.65","0.20588235294117646","6103"
"466","G,U","5","Imoti, Celebrant of Bounty","uncommon","Creature","0.39","0.31","0.35","0.08","0.15","0.04","0.5113636363636362","6028"
"467","B,G","2","Hapatra, Vizier of Poisons","rare","Creature","0.69","0.32","0.71","0.3","0.27","0.02","0.5","6025"
"468","B,G,U","3","Jorn, God of Winter","rare","Creature","0.49","0.29","0.54","0.24","0.29","0.02","0.5","6023"
"469","U,R","5","Magnus the Red","rare","Creature","15.99","11.18","14.28","9.8","13.4","0.75","0.5","6019"
"470","B","4","Massacre Girl, Known Killer","mythic","Creature","1.49","0.59","1.42","1.07","0.89","0.02","0.5392156862745093","6009"
"471","W,U","5","Elminster","mythic","Planeswalker","1.79","1.48","1.42","0.98","1.63","1.01","0.7058823529411765","6003"
"472","B,G","3","Camellia, the Seedmiser","rare","Creature","2.49","2.33","2.49","0.87","1.42","0.02","0.3703703703703704","5998"
"473","B,R,G","6","The Reaper, King No More","mythic","Creature","0.99","0.5","1.06","0.6","0.5","undefined","undefined","5991"
"474","B,R","4","Blim, Comedic Genius","rare","Creature","0.49","0.25","0.35","0.18","0.19","1.16","0.528205128205128","5988"
"475","B","5","Gisa, the Hellraiser","mythic","Creature","8.99","5.62","9.28","5.4","6.98","0.02","0.47311827956989255","5986"
"476","U,B,R","4","Davros, Dalek Creator","mythic","Creature","0.99","0.38","1.06","0.39","0.23","undefined","0.7619047619047619","5977"
"477","W,B","7","Mister Negative","mythic","Creature","1.29","1.24","1.42","1.16","1.35","0.21","0.819047619047619","5974"
"478","U,R,W","5","Arthur, Marigold Knight","mythic","Creature","0.99","0.36","1.06","0.36","0.33","1.42","0.6875","5973"
"479","R,G,W","5","Uril, the Miststalker","mythic","Creature","1.49","1.18","1.42","0.62","0.77","0.02","0.21428571428571427","5969"
"480","G,W","2","Black Panther, Wakandan King","mythic","Creature","3.99","3.77","4.28","3.37","2.83","1.29","0.5964912280701754","5965"
"481","W,U,B,R,G","10","Progenitus","mythic","Creature","1.29","0.88","1.42","0.68","0.88","0.02","0.38271604938271586","5951"
"482","G,U","4","Arixmethes, Slumbering Isle","rare","Creature","1.79","0.59","1.78","0.85","0.59","0.02","0.3155080213903743","5943"
"483","W,B","2","Amalia Benavides Aguirre","rare","Creature","0.69","0.37","0.71","0.42","0.44","0.02","0.31481481481481494","5943"
"484","R,W","3","Anim Pakal, Thousandth Moon","rare","Creature","5.99","4.13","5.71","4.04","4.31","0.02","0.3770949720670393","5929"
"485","G,U,R","3","Averna, the Chaos Bloom","rare","Creature","0.49","0.36","0.54","0.19","0.19","1.04","0.3157894736842105","5921"
"486","B,R","7","Smaug the Impenetrable","rare","Creature","20.99","17.23","22.85","22.55","23.66","undefined","undefined","5921"
"487","U,B","5","Tasha, the Witch Queen","mythic","Planeswalker","7.49","6.24","7.85","6.88","4.81","10.32","0.4864864864864865","5900"
"488","G,W","6","Hamza, Guardian of Arashin","uncommon","Creature","0.59","0.3","0.54","0.14","0.19","0.04","0.28571428571428575","5895"
"489","W,B","2","Karlov of the Ghost Council","mythic","Creature","12.99","11.33","12.14","10.06","11.8","1.82","0.4","5892"
"490","U,B","3","Runo Stromkirk","rare","Creature","0.49","0.34","0.54","0.28","0.36","0.02","0.2","5881"
"491","U,R","4","Mizzix of the Izmagnus","rare","Creature","0.99","0.81","1.42","0.19","0.51","0.3","0.7727272727272727","5860"
"492","R,G,W","3","Jinnie Fay, Jetmir's Second","rare","Creature","1.49","0.67","1.78","0.02","0.57","0.02","0.22222222222222232","5842"
"493","U","2","Baral, Chief of Compliance","rare","Creature","4.99","3.44","4.99","1.61","2.1","0.02","1.0618421052631553","5835"
"494","R,W","3","General Ferrous Rokiric","rare","Creature","0.79","0.49","0.71","0.46","0.57","0.02","0.06730769230769235","5829"
"495","B,R","3","Rivaz of the Claw","rare","Creature","1.99","1.02","2.14","0.56","0.9","0.02","0.29245283018867935","5822"
"496","R,G","7","Atarka, World Render","rare","Creature","0.69","0.38","0.71","0.4","0.52","0.02","0.4178272980501393","5816"
"497","R,W,B","5","Zurgo Helmsmasher","mythic","Creature","0.99","0.56","0.71","0.24","0.25","0.02","0.2777777777777778","5808"
"498","R,W,B","4","Olivia, Opulent Outlaw","mythic","Creature","6.99","6.45","7.14","3.8","5.05","undefined","0.18571428571428572","5808"
"499","G,U","2","Kenessos, Priest of Thassa","rare","Creature","11.99","7.9","12.14","4.57","10.12","undefined","0.6190476190476191","5803"
"500","R,W,B","3","Alesha, Who Smiles at Death","rare","Creature","0.49","0.21","0.35","0.14","0.18","0.02","0.35","5799"
"501","R,W","4","Bre of Clan Stoutarm","rare","Creature","0.49","0.23","0.35","0.17","0.2","0.03","undefined","5789"
"502","W,U","3","Whtz, the Bibliophile","rare","Creature","undefined","undefined","undefined","undefined","undefined","undefined","undefined","5789"
"503","G,W","2","Emmara, Soul of the Accord","rare","Creature","0.69","0.32","0.54","0.26","0.22","0.02","0.17647058823529413","5775"
"504","B,R","3","The Great Goblin","rare","Creature","0.49","0.64","0.54","0.59","0.5","0.01","undefined","5761"
"505","B,R","3","Anje Falkenrath","mythic","Creature","0.99","0.99","1.06","0.35","1.36","3.38","0.25","5754"
"506","G,W","1","Rhys the Redeemed","rare","Creature","4.49","4.12","4.28","0.97","2.7","0.02","0.3131313131313131","5752"
"507","G","3","Loot, Exuberant Explorer","rare","Creature","3.99","3.35","3.56","2.65","2.55","0.02","0.5909090909090906","5752"
"508","B,G","4","Jarad, Golgari Lich Lord","mythic","Creature","5.49","2.32","5.71","2.86","3.33","0.02","0.2865168539325844","5750"
"509","B,G,U","3","Tatsunari, Toad Rider","rare","Creature","0.49","0.28","0.35","0.15","0.17","0.02","0.05","5748"
"510","W,U,B","6","Saruman of Many Colors","mythic","Creature","0.99","1.23","1.42","0.91","1.05","0.02","0.375","5742"
"511","R","2","Krark, the Thumbless // Sakashima of a Thousand Faces","rare","Creature","2.79","2.24","2.85","1.07","1.55","7.02","0.7070707070707071","5725"
"512","W,U,B","5","Yennett, Cryptic Sovereign","rare","Creature","0.99","0.34","1.06","0.24","0.53","0.58","0.2727272727272727","5718"
"513","W,U,B,R,G","5","Scion of the Ur-Dragon","rare","Creature","8.49","8.12","8.57","3.92","4.59","0.02","0.9186046511627907","5715"
"514","U,R","2","Ashling, Rekindled","rare","Creature","1.29","0.64","1.06","1.22","1.11","0.02","undefined","5680"
"515","R,W","6","Aurelia, the Warleader","mythic","Creature","5.99","5.73","6.42","3.21","4.09","0.02","0.6722222222222223","5674"
"516","R,W,B","3","Altaïr Ibn-La'Ahad","mythic","Creature","2.49","1.38","2.14","0.76","2.17","0.02","0.7777777777777778","5668"
"517","G","5","Beorn the Fierce","mythic","Creature","6.49","5.5","7.14","5.66","6.99","0.08","undefined","5660"
"518","W,U,B","3","Splinter, Radical Rat","rare","Creature","0.49","0.55","0.54","0.63","0.42","0.02","undefined","5656"
"519","U,R","5","The Tenth Doctor // Rose Tyler","mythic","Creature","0.99","0.47","1.06","3.23","0.27","undefined","0.6666666666666666","5646"
"520","U,R,W","2","Gwen Stacy","mythic","Creature","3.49","3.14","3.56","2.03","2.09","0.37","0.3944954128440367","5635"
"521","B,G","2","Aphelia, Viper Whisperer","mythic","Creature","19.99","18.82","20.71","11.9","15.36","3.45","0.5392156862745096","5634"
"522","B,G","3","Baba Lysaga, Night Witch","rare","Creature","0.49","0.28","0.35","0.19","0.2","3.51","0.2","5615"
"523","R,G","3","Owen Grady, Raptor Trainer // Blue, Loyal Raptor","rare","Creature","6.99","7.43","7.14","3.81","7.37","1.08","0.4","5614"
"524","G,W,U","4","Sophia, Dogged Detective","mythic","Creature","0.99","0.34","0.71","0.27","0.23","1.77","0.8571428571428571","5568"
"525","W,U,B,R,G","5","Garth One-Eye","mythic","Creature","0.99","0.38","1.06","0.16","0.19","0.02","0.5","5545"
"526","W,B","5","Eirdu, Carrier of Dawn","mythic","Creature","2.99","2.24","3.21","3.8","2.94","0.02","undefined","5543"
"527","B","4","Gonti, Night Minister","rare","Creature","1.79","0.78","1.78","0.49","0.59","0.02","0.48366013071895436","5535"
"528","B,R","5","Raphael, Fiendish Savior","rare","Creature","0.69","0.34","0.54","0.29","0.42","11.79","0.2807017543859648","5534"
"529","G,W,U","4","Galea, Kindler of Hope","mythic","Creature","0.99","0.68","1.06","0.49","0.58","0.63","0.6","5517"
"530","R,G","4","Toph, Hardheaded Teacher","rare","Creature","0.99","1.01","1.06","0.68","0.58","0.02","undefined","5516"
"531","G,W","5","Kyler, Sigardian Emissary","mythic","Creature","0.99","0.67","1.06","0.59","0.81","undefined","0.34782608695652173","5514"
"532","B,G","5","Zask, Skittering Swarmlord","rare","Creature","27.99","27.68","25","17.45","31.28","undefined","0.6","5504"
"533","W,U,B","4","The Destined Warrior","rare","Creature","2.99","3.89","3.21","3.45","2.69","undefined","undefined","5501"
"534","G","4","Goreclaw, Terror of Qal Sisma","uncommon","Creature","4.49","2.61","4.28","0.51","2.09","0.02","0.27863777089783276","5498"
"535","R,G","3","Faldorn, Dread Wolf Herald","mythic","Creature","3.99","3.43","4.28","0.46","4.64","1.55","0.28971962616822433","5496"
"536","R,W,B","3","Jan Jansen, Chaos Crafter","rare","Creature","0.59","0.28","0.54","0.22","0.3","2.6","0.21739130434782616","5480"
"537","R,W","6","Sami, Wildcat Captain","mythic","Creature","1.49","1.09","1.42","0.77","1.29","0.06","0.580952380952381","5479"
"538","R,G","3","Muerra, Trash Tactician","rare","Creature","0.49","0.29","0.54","0.13","0.23","0.02","0.23529411764705882","5469"
"539","G,U","1","Tamiyo, Inquisitive Student","mythic","Creature","27.99","18.01","28.57","19.75","22.6","14.13","0.3","5467"
"540","G,U","6","Quandrix, the Proof","mythic","Creature","1.99","1.55","2.14","1.38","2.01","0.22","undefined","5459"
"541","R,W","2","Taii Wakeen, Perfect Shot","rare","Creature","0.49","0.26","0.54","0.13","0.14","0.02","0.4444444444444444","5447"
"542","B,R","3","Xantcha, Sleeper Agent","rare","Creature","2.79","1.25","2.85","0.76","1.73","1.64","0.4051724137931034","5440"
"543","U,R","6","Neera, Wild Mage","rare","Creature","0.49","0.26","0.35","0.23","0.21","1.01","0.4666666666666667","5419"
"543","W,B","4","Minthara, Merciless Soul","uncommon","Creature","0.35","0.22","0.35","0.2","0.19","2.64","0.3269230769230769","5419"
"545","R,G,W","2","Miles Morales","mythic","Creature","5.99","4.9","6.42","2.32","2.05","0.14","0.8837209302325579","5409"
"546","R,W,B","6","Megatron, Tyrant","mythic","Creature","1.79","1.85","1.78","0.68","1.28","7.7","0.5833333333333334","5404"
"547","G,W","5","Yuna, Hope of Spira","mythic","Creature","5.99","3.72","5.71","6.13","4.72","0.02","0.5104166666666665","5400"
"548","W,U,B,R,G","6","Karona, False God","rare","Creature","2.79","3.58","2.49","0.86","0.85","0.02","0.21428571428571427","5394"
"549","B,R","2","Grenzo, Dungeon Warden","rare","Creature","0.79","0.38","0.71","0.47","0.36","0.02","0.375","5384"
"550","B","3","Liliana, Heretical Healer","mythic","Creature","5.99","6.95","5.71","2.49","4.06","0.02","0.45454545454545436","5348"
"551","G,U,R","5","Riku of Two Reflections","mythic","Creature","4.99","5.65","4.99","2.64","2.33","0.02","0.4666666666666667","5343"
"552","U,R","3","Ian Malcolm, Chaotician","rare","Creature","5.99","6.45","5.71","3.5","7.37","1.71","0.47058823529411764","5338"
"553","R","5","Slicer, Hired Muscle","mythic","Creature","11.99","7.87","12.14","5.59","7.35","50.55","0.9609929078014184","5333"
"554","B,R","0","Asmoranomardicadaistinaculdacar","rare","Creature","0.49","0.31","0.35","0.3","0.16","0.02","0.29411764705882354","5331"
"555","U,R,W","6","Optimus Prime, Hero","mythic","Creature","10.99","13.34","11.42","2.15","6.14","8.37","0.5","5321"
"556","G,W,U","4","Kros, Defense Contractor","mythic","Creature","0.99","0.41","1.06","0.49","0.34","undefined","0.4444444444444444","5312"
"557","R","4","Solphim, Mayhem Dominus","mythic","Creature","39.99","28.17","39.28","12.98","30.56","0.02","0.6890756302521007","5295"
"558","W,U,B,R,G","1","Nick Fury, Agent of S.H.I.E.L.D.","rare","Creature","0.49","0.28","0.35","0.21","0.11","0.03","undefined","5283"
"559","G,U","3","Kumena, Tyrant of Orazca","mythic","Creature","0.99","0.37","1.06","0.49","0.51","0.02","0.36507936507936506","5282"
"560","G","4","Baru, Wurmspeaker","rare","Creature","1.49","1.52","1.42","0.81","1.08","0.62","0.4","5277"
"561","B,R","5","Rakdos, the Muscle","mythic","Creature","2.49","1.97","2.49","1.66","1.75","0.02","0.35","5276"
"562","R","2","Kediss, Emberclaw Familiar // Malcolm, Keen-Eyed Navigator","uncommon","Creature","8.99","5","9.28","1.79","5.67","2.88","0.5128205128205131","5256"
"563","W","3","Heliod, Sun-Crowned","mythic","Creature","23.99","19.76","23.57","15","17.25","0.14","0.8976608187134502","5250"
"564","B","4","Vincent Valentine","rare","Creature","1.49","1.68","1.42","0.2","1.34","0.02","0.34579439252336447","5220"
"565","","10","Kozilek, the Great Distortion","mythic","Creature","7.49","6.12","7.85","4.32","5.1","0.02","1.3649350649350653","5186"
"566","U,R,W","3","Captain America, Team Leader","mythic","Creature","0.99","3.38","1.06","0.42","0.34","1.68","undefined","5174"
"567","W,B","2","Syr Vondam, Sunstar Exemplar","rare","Creature","0.99","0.38","1.06","0.5","0.61","0.02","0.1869158878504673","5135"
"568","R,G,W","3","Ghired, Mirror of the Wilds","mythic","Creature","0.99","0.36","1.06","0.49","0.42","0.02","0.35","5111"
"569","U,R,W","5","Liberty Prime, Recharged","mythic","Creature","0.99","0.34","1.06","0.56","0.34","1.18","0.2222222222222222","5104"
"570","W,U","5","The Council of Four","rare","Creature","1.49","1.41","1.42","0.57","2","9.54","0.49238578680203043","5102"
"571","W,B","4","King of the Oathbreakers","rare","Creature","0.49","0.34","0.54","0.19","0.22","0.02","0.6666666666666666","5092"
"572","B,G","4","Savra, Queen of the Golgari","rare","Creature","2.99","3.45","2.85","1.23","1.7","0.02","0.3125","5083"
"573","G,U","2","Lonis, Cryptozoologist","rare","Creature","0.49","0.26","0.54","0.17","0.14","0.02","0.2537313432835821","5078"
"574","W,U,B,R,G","5","Jared Carthalion","mythic","Planeswalker","0.99","1.17","1.42","0.58","0.57","0.81","0.2222222222222222","5069"
"575","R,W","5","Otharri, Suns' Glory","mythic","Creature","8.99","5.86","9.28","5.19","5.82","6.67","0.20192307692307693","5048"
"576","B,R","3","Grub, Storied Matriarch","rare","Creature","0.79","0.34","0.71","0.31","0.51","0.02","undefined","5043"
"577","B","2","Rat King, Verminister","rare","Creature","0.49","0.71","0.54","0.56","0.52","0.02","undefined","5036"
"578","B,R","3","Alesha, Who Laughs at Fate","rare","Creature","3.49","1.76","3.56","0.99","2.42","0.02","0.3015873015873016","5006"
"579","W","4","Odric, Lunarch Marshal","rare","Creature","0.69","0.52","0.71","0.26","0.43","0.02","0.34897360703812325","5005"
"580","W,B,G","5","Vishgraz, the Doomhive","mythic","Creature","2.99","1.43","2.85","0.61","0.84","2.63","0.7222222222222222","5002"
"581","B","2","Tinybones, Trinket Thief","mythic","Creature","18.99","16.22","19.28","7.35","20.49","9.07","1.0952380952380953","4999"
"582","R","9","Herigast, Erupting Nullkite","mythic","Creature","1.29","0.88","1.06","0.96","0.8","0.02","0.2222222222222222","4996"
"583","R,G,W","6","Samut, the Driving Force","rare","Creature","0.49","0.24","0.35","0.08","0.14","0.02","0.19811320754716988","4990"
"584","G,U","3","Galadriel of Lothlórien","rare","Creature","0.69","0.36","0.71","0.44","0.37","0.02","0","4981"
"585","W,U","3","Plagon, Lord of the Beach","rare","Creature","2.79","0.96","3.21","1.9","1.39","8.87","0.27368421052631586","4968"
"586","B,R","5","Silvar, Devourer of the Free // Trynn, Champion of Freedom","mythic","Creature","0.99","1.02","1.06","0.77","0.4","0.78","0.23529411764705882","4964"
"587","G,W","3","Sergeant John Benton","rare","Creature","0.59","1.19","0.71","1.23","1.06","undefined","0.7142857142857143","4962"
"588","G,W,U","4","Rafiq of the Many","rare","Creature","0.49","0.29","0.35","0.17","0.18","0.02","0.4166666666666667","4957"
"589","R,W","4","Osgir, the Reconstructor","mythic","Creature","1.29","0.83","1.06","0.53","1.36","3.79","0","4953"
"590","U,R,W","4","Cayth, Famed Mechanist","mythic","Creature","0.99","0.37","1.06","0.43","0.32","0.02","0.23636363636363636","4949"
"591","R","4","Ashling, Flame Dancer","mythic","Creature","8.49","5.76","9.28","6.41","6.43","0.02","0.4021164021164021","4937"
"592","G","4","Cazur, Ruthless Stalker // Ukkima, Stalking Shadow","mythic","Creature","0.99","0.33","1.06","0.33","0.29","1.2","0.1111111111111111","4903"
"593","U,R,W","5","Elsha of the Infinite","rare","Creature","0.49","0.23","0.54","0.18","0.36","0.19","0.4444444444444444","4899"
"594","B,R","8","Imskir Iron-Eater","rare","Creature","0.49","0.27","0.35","0.19","0.15","0.02","0.18518518518518517","4897"
"595","U","4","Braids, Conjurer Adept","rare","Creature","1.29","0.42","1.06","0.24","0.34","0.02","0.65","4891"
"596","B,R","4","Black Waltz No. 3","uncommon","Creature","0.39","0.34","0.35","0.14","0.19","0.03","0.3473684210526316","4881"
"597","B","3","Vito, Thorn of the Dusk Rose","rare","Creature","12.99","10.26","13.57","6.74","7.28","0.02","0.94831013916501","4878"
"598","W,U","3","Sokrates, Athenian Teacher","rare","Creature","1.49","1.07","1.42","0.5","0.89","0.02","0.6428571428571429","4875"
"599","U,B,R","8","Sauron, Lord of the Rings","mythic","Creature","0.99","0.51","1.06","0.72","0.58","1.75","0.4074074074074074","4861"
"600","W","6","Darien, King of Kjeldor","rare","Creature","1.49","1.12","1.42","0.5","0.5","0.02","0.37681159420289856","4860"
"601","R","4","Purphoros, God of the Forge","mythic","Creature","37.99","28.16","35.71","22.92","30.35","0.02","1.151447661469935","4853"
"602","G","4","Toph, Earthbending Master","mythic","Creature","44.99","38.86","46.43","39.73","47.22","2.95","undefined","4842"
"603","","3","Ultron, Artificial Malevolence","mythic","Creature","11.99","9.88","12.85","9.27","8.14","0.09","undefined","4834"
"604","W,U,B","3","G'raha Tia, Scion Reborn","mythic","Creature","0.99","0.69","0.71","0.49","0.14","1.35","0.32","4808"
"605","B","3","Xu-Ifit, Osteoharmonist","rare","Creature","0.49","0.34","0.54","0.3","0.36","0.02","0.21621621621621626","4808"
"606","B,R","4","Mogis, God of Slaughter","mythic","Creature","6.99","5.58","7.14","3.77","6.11","0.31","0.5176470588235296","4805"
"607","U,R","4","Galazeth Prismari","mythic","Creature","0.99","0.38","0.71","0.43","0.34","0.02","0.13043478260869565","4799"
"608","B","5","Gwenom, Remorseless","mythic","Creature","6.49","4.53","5.71","4.05","3.85","0.09","0.9673913043478263","4781"
"609","U","5","Azami, Lady of Scrolls","rare","Creature","0.99","0.34","1.42","0.29","0.49","0.02","0.5102040816326531","4771"
"610","W,B,G","3","Doran, the Siege Tower","rare","Creature","6.99","8.6","7.14","3.22","4.05","0.02","0.17647058823529413","4758"
"611","B,G","6","Yargle and Multani","rare","Creature","3.49","2.11","3.56","0.73","1.7","0.02","0.20535714285714282","4758"
"612","R,G","2","Agatha of the Vile Cauldron","mythic","Creature","4.49","2.93","4.28","1.62","2.16","0.02","0.5833333333333334","4739"
"613","U,B,R","4","Admiral Beckett Brass","mythic","Creature","0.99","0.36","0.71","0.27","0.34","0.02","0.673469387755102","4732"
"614","W,U,B","3","Noctis, Heir Apparent","rare","Creature","2.99","4.63","3.21","4.01","3.56","undefined","undefined","4725"
"615","W,U","3","Will, Scion of Peace","mythic","Creature","1.29","1.08","1.42","0.76","1","0.02","0.6428571428571429","4712"
"616","U,R,W","5","Gavi, Nest Warden","mythic","Creature","0.99","0.43","0.71","0.18","0.19","1.62","0.24022346368715083","4694"
"617","U","1","Lady Octopus, Inspired Inventor","rare","Creature","0.99","0.7","1.06","0.65","0.57","0.02","0.6296296296296297","4686"
"618","U,R","3","Jhoira of the Ghitu","rare","Creature","0.69","0.29","0.71","0.29","0.34","0.02","0.05","4683"
"619","B,G","7","Beledros Witherbloom","mythic","Creature","2.99","1.33","2.85","1.6","1.39","0.03","0.49382716049382713","4676"
"620","R,G,W","9","Zacama, Primal Calamity","mythic","Creature","2.29","1.6","2.49","1.03","1.13","0.02","0.6489361702127662","4674"
"621","B,R","6","The Master, Multiplied","rare","Creature","8.49","5.81","8.57","4.31","4.55","undefined","0.7545454545454545","4655"
"622","G,W","3","Selvala, Explorer Returned","rare","Creature","0.59","0.27","0.54","0.19","0.18","0.02","0.2651933701657459","4641"
"623","R,G","2","Ruby, Daring Tracker","uncommon","Creature","0.35","0.29","0.35","0.13","0.11","0.03","0.17560975609756097","4629"
